season,team,sos
2007,Florida A&M ,-0.7
2007,Texas Wesleyan ,-1.0
2007,N Florida ,-1.0
2007,NC A&T ,-1.1
2007, ,-1.1
2007, ,-1.1
2007,Southeastern College ,-1.1
2007,Allen ,-1.1
2007,S Car State ,-1.2
2007,Morgan St ,-1.3
2007,Howard ,-1.6
2007,Ferrum ,-1.6
2007,Jackson St ,-1.7
2007, ,-1.7
2007,Dallas Baptist ,-1.8
2007,Huston-Tillotson ,-1.8
2007,Norfolk St ,-1.9
2007,Toccoa Falls ,-1.9
2007,Miss Val St ,-2.0
2007,Anderson (IN) ,-2.5
2007,Warner Southern ,-2.6
2007,Southern ,-2.8
2007,SUNY-Old Westbury ,-3.0
2007, ,-3.2
2007,Redlands ,-3.3
2007,Ark Pine Bl ,-3.3
2007,Paul Quinn ,-3.5
2007,Swarthmore ,-3.7
2007,Alabama St ,-3.7
2007, ,-3.9
2007,Maryland ES ,-4.0
2007,Florida Christian College ,-4.0
2007,Washington Adventist ,-4.0
2007,Anderson (SC) ,-4.0
2007,Beth-Cook ,-4.1
2007,Shenandoah ,-4.4
2007,Tuskegee ,-4.5
2007,Prairie View ,-5.0
2007,Alcorn State ,-5.3
2007,TX Southern ,-5.6
2007,Grambling St ,-5.6
2007,Oakwood ,-6.0
2007,Stillman ,-6.0
2007,Philander Smith ,-6.1
2007,Alab A&M ,-6.3
2007,SW Assemblies of God ,-8.0
2007, ,-13.1
2008, ,26.4
2008,Ouachita Baptist ,23.9
2008,Sonoma State ,23.1
2008,Wayland Baptist ,21.4
2008, ,20.8
2008, ,20.8
2008,Rogers State ,20.2
2008, ,20.0
2008,UC San Diego ,19.6
2008,Southwestern Oklahoma St. ,19.5
2008,Queens (N.Y.) ,18.3
2008,Arizona ,18.1
2008,Duke ,18.0
2008,Cal. State - Los Angeles ,17.9
2008,Kansas ,17.8
2008,West Florida ,17.7
2008,UCLA ,17.7
2008,N Carolina ,17.7
2008,Texas ,17.7
2008,Missouri-St.Louis ,17.6
2008,Tennessee ,17.4
2008,USC ,17.3
2008,Wash State ,16.9
2008,CSU Stanislaus ,16.9
2008,Marquette ,16.9
2008,Adams St. ,16.6
2008,Oregon ,16.5
2008,Georgetown ,16.5
2008, ,16.4
2008,Kansas St ,16.4
2008,Louisville ,16.3
2008,Wisconsin ,16.3
2008,GA Tech ,16.3
2008,Grace College ,16.2
2008,Stanford ,16.2
2008,John Carroll ,16.2
2008,Oklahoma ,16.0
2008,Ohio State ,16.0
2008,Spring Hill ,15.9
2008,Connecticut ,15.9
2008,W Virginia ,15.9
2008,Clemson ,15.8
2008,Missouri ,15.7
2008,Pittsburgh ,15.6
2008,California ,15.6
2008,Texas A&M ,15.6
2008, ,15.6
2008,Washington ,15.5
2008,Illinois ,15.5
2008,Michigan St ,15.5
2008, ,15.3
2008,Indiana ,15.2
2008,Baylor ,15.2
2008,Mayville State ,15.1
2008,Oklahoma St ,15.1
2008,Arizona St ,15.1
2008,Notre Dame ,15.0
2008,Minot State ,15.0
2008,Texas Lutheran ,14.9
2008,Texas Tech ,14.8
2008,Lewis & Clark ,14.8
2008,North Dakota ,14.7
2008,Syracuse ,14.7
2008,Memphis ,14.6
2008,Florida St ,14.6
2008,Nebraska ,14.3
2008,Providence ,14.3
2008,Purdue ,14.3
2008,Oakland City ,14.2
2008,Xavier ,14.1
2008,Kentucky ,14.1
2008,Miami (FL) ,14.1
2008,Gonzaga ,13.9
2008,Miss State ,13.9
2008,VA Tech ,13.8
2008,Villanova ,13.7
2008,Arkansas ,13.7
2008,Minnesota ,13.6
2008,DePaul ,13.6
2008,Maryland ,13.6
2008,S Illinois ,13.5
2008,Virginia ,13.5
2008,Florida Southern ,13.5
2008,Blue Mountain College ,13.4
2008,Colorado Christian ,13.4
2008,Mississippi ,13.4
2008,Wake Forest ,13.4
2008,NC State ,13.3
2008, ,13.3
2008,Haskell ,13.2
2008,Vanderbilt ,13.2
2008,Cincinnati ,13.2
2008,Fort Valley State ,13.2
2008,Florida ,13.1
2008,Michigan ,13.1
2008,S Carolina ,12.9
2008,Drake ,12.9
2008,LSU ,12.7
2008,Asbury College ,12.6
2008,Rio Grande ,12.6
2008,Georgia ,12.6
2008,Colorado ,12.6
2008,Boston Col ,12.6
2008,Alabama ,12.5
2008,S Florida ,12.5
2008,Miami (OH) ,12.4
2008,Davidson ,12.4
2008,Iowa State ,12.4
2008,St Josephs ,12.4
2008,Arkansas-Monticello ,12.4
2008,BYU ,12.3
2008,IU-SouthBend ,12.2
2008,William Carey ,12.2
2008,Cal State San Bernardino ,12.1
2008,Creighton ,12.1
2008,St Johns ,12.0
2008,Montana Western ,11.9
2008,Temple ,11.9
2008,Bradley ,11.8
2008,Utah ,11.8
2008,Penn State ,11.8
2008, ,11.8
2008,U Mass ,11.7
2008,Illinois St ,11.7
2008,New Mexico ,11.5
2008,Missouri St ,11.5
2008,Washburn ,11.5
2008,Le Tourneau ,11.4
2008,UNLV ,11.4
2008,Dayton ,11.3
2008,Indiana St ,11.3
2008,Charlotte ,11.3
2008,Seton Hall ,11.3
2008,Iowa ,11.2
2008,Upper Iowa ,11.1
2008,Duquesne ,11.0
2008,Millsaps ,11.0
2008,Adrian ,10.9
2008,San Diego St ,10.9
2008,St Marys ,10.9
2008,Butler ,10.7
2008,Northwestern ,10.7
2008,Angelo State ,10.6
2008,Auburn ,10.6
2008,N Iowa ,10.6
2008,Rhode Island ,10.5
2008,UAB ,10.5
2008,John Brown ,10.5
2008,Wichita St ,10.4
2008,Central FL ,10.1
2008,TX El Paso ,10.1
2008,Loyola (LA) ,10.0
2008,Cal. State - Monterey Bay ,10.0
2008,Linfield College ,10.0
2008,Oral Roberts ,10.0
2008, ,10.0
2008,Kent State ,9.9
2008,Tusculum ,9.9
2008, ,9.8
2008, ,9.8
2008,IL-Chicago ,9.8
2008,Avila ,9.7
2008,Fordham ,9.7
2008,Geo Wshgtn ,9.6
2008,Ohio ,9.6
2008,N Mex State ,9.5
2008,Saint Louis ,9.5
2008,Chadron St. ,9.5
2008,WI-Grn Bay ,9.4
2008,Cleveland St ,9.4
2008,Vanguard ,9.4
2008,Tulsa ,9.4
2008,North Alabama ,9.2
2008,Rochester College ,9.2
2008,W Michigan ,9.2
2008,Rutgers ,9.2
2008,Houston ,9.1
2008,Winthrop ,9.1
2008,Nevada ,9.1
2008,Valparaiso ,9.0
2008,San Diego ,9.0
2008,Harding ,8.9
2008,Toledo ,8.9
2008,Dallas Baptist ,8.9
2008,Wright State ,8.9
2008,S Mississippi ,8.8
2008,WI-Milwkee ,8.8
2008,W Kentucky ,8.7
2008,Richmond ,8.7
2008, ,8.6
2008,Limestone ,8.6
2008,Oregon St ,8.6
2008,Central Mich ,8.5
2008,Akron ,8.5
2008,Chaminade ,8.5
2008,Evansville ,8.5
2008,La Salle ,8.4
2008,Marshall ,8.4
2008,Johnson & Wales U. (RI) ,8.4
2008,Colorado St ,8.3
2008,Colorado-Colorado Springs ,8.3
2008,Old Dominion ,8.3
2008,NC-Grnsboro ,8.3
2008, ,8.2
2008,Wyoming ,8.2
2008,Hardin-Simmons ,8.1
2008,Texas A&M - International ,8.1
2008,Lees-McRae ,8.1
2008,Goucher ,8.0
2008, ,8.0
2008,Great Falls ,8.0
2008,Youngs St ,8.0
2008,Evergreen State ,7.9
2008,Erskine ,7.8
2008,Loyola-Chi ,7.8
2008,S Alabama ,7.8
2008,Ball State ,7.8
2008,Geo Mason ,7.8
2008,Northeastrn ,7.8
2008,Tulane ,7.8
2008,VCU ,7.8
2008,Santa Clara ,7.8
2008,Slippery Rock ,7.8
2008,Western State ,7.7
2008,Oakland ,7.7
2008,Detroit ,7.7
2008,Air Force ,7.7
2008,N Illinois ,7.6
2008,Bowling Grn ,7.6
2008,Hanover ,7.6
2008,Texas-Permian Basin ,7.5
2008,N Dakota St ,7.5
2008, ,7.4
2008,Rice ,7.3
2008,Texas-Tyler ,7.3
2008,IUPUI ,7.3
